127.0.0.1 - - [10/Sep/2020:17:28:17 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Sep/2020:17:30:11 +0900] "GET /shinhan_campusmap/recvImageText.jsp HTTP/1.1" 500 2523
0:0:0:0:0:0:0:1 - - [10/Sep/2020:17:30:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
192.168.0.3 - - [10/Sep/2020:17:30:41 +0900] "POST /shinhan_campusmap/campusmap/buildingSearch.jsp HTTP/1.1" 200 149
192.168.0.3 - - [10/Sep/2020:17:30:41 +0900] "POST /shinhan_campusmap/campusmap/classBcodeList.jsp HTTP/1.1" 200 83
192.168.0.3 - - [10/Sep/2020:17:32:43 +0900] "POST /shinhan_campusmap/campusmap/buildingSearch.jsp HTTP/1.1" 200 261
192.168.0.3 - - [10/Sep/2020:17:32:43 +0900] "POST /shinhan_campusmap/campusmap/classBcodeList.jsp HTTP/1.1" 200 223
192.168.0.3 - - [10/Sep/2020:17:32:46 +0900] "POST /shinhan_campusmap/recvImageText.jsp HTTP/1.1" 200 8
192.168.0.3 - - [10/Sep/2020:17:36:15 +0900] "POST /shinhan_campusmap/recvImageText.jsp HTTP/1.1" 500 2533
192.168.0.3 - - [10/Sep/2020:17:40:08 +0900] "POST /shinhan_campusmap/recvImageText.jsp HTTP/1.1" 500 2544
192.168.0.3 - - [10/Sep/2020:17:44:05 +0900] "POST /shinhan_campusmap/campusmap/buildingSearch.jsp HTTP/1.1" 200 261
192.168.0.3 - - [10/Sep/2020:17:44:05 +0900] "POST /shinhan_campusmap/campusmap/classBcodeList.jsp HTTP/1.1" 200 223
192.168.0.3 - - [10/Sep/2020:17:44:30 +0900] "POST /shinhan_campusmap/recvImageText.jsp HTTP/1.1" 200 10
192.168.0.3 - - [10/Sep/2020:17:46:17 +0900] "POST /shinhan_campusmap/recvImageText.jsp HTTP/1.1" 200 10
192.168.0.3 - - [10/Sep/2020:17:51:53 +0900] "POST /shinhan_campusmap/campusmap/buildingSearch.jsp HTTP/1.1" 200 149
192.168.0.3 - - [10/Sep/2020:17:51:53 +0900] "POST /shinhan_campusmap/campusmap/classBcodeList.jsp HTTP/1.1" 200 83
192.168.0.3 - - [10/Sep/2020:17:52:07 +0900] "POST /shinhan_campusmap/recvImage.jsp HTTP/1.1" 500 2769
192.168.0.3 - - [10/Sep/2020:17:56:44 +0900] "POST /shinhan_campusmap/campusmap/buildingSearch.jsp HTTP/1.1" 200 261
192.168.0.3 - - [10/Sep/2020:17:56:44 +0900] "POST /shinhan_campusmap/campusmap/classBcodeList.jsp HTTP/1.1" 200 223
192.168.0.3 - - [10/Sep/2020:17:57:02 +0900] "POST /shinhan_campusmap/recvImage.jsp HTTP/1.1" 500 2769
192.168.0.3 - - [10/Sep/2020:17:59:01 +0900] "POST /shinhan_campusmap/recvImage.jsp HTTP/1.1" 500 2769
