127.0.0.1 - - [13/Sep/2020:20:46:58 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Sep/2020:20:47:04 +0900] "GET /shinhan_campusmap/member/login_con.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Sep/2020:20:47:04 +0900] "GET /shinhan_campusmap/member/login.jsp HTTP/1.1" 200 2310
0:0:0:0:0:0:0:1 - - [13/Sep/2020:20:47:04 +0900] "GET /shinhan_campusmap/member/%3Cc:url%20value='/assets/plugins/iCheck/icheck.min.js'%20/%3E HTTP/1.1" 404 930
0:0:0:0:0:0:0:1 - - [13/Sep/2020:20:47:04 +0900] "GET /shinhan_campusmap/member/%3Cc:url%20value='/assets/plugins/parsleyjs/parsley.min.js'%20/%3E HTTP/1.1" 404 934
0:0:0:0:0:0:0:1 - - [13/Sep/2020:20:47:04 +0900] "GET /shinhan_campusmap/member/%3Cc:url%20value='/assets/bower_components/bootstrap/dist/js/bootstrap.min.js'%20/%3E HTTP/1.1" 404 961
0:0:0:0:0:0:0:1 - - [13/Sep/2020:20:47:04 +0900] "GET /shinhan_campusmap/member/%3Cc:url%20value='/assets/bower_components/jquery/dist/jquery.min.js'%20/%3E HTTP/1.1" 404 948
0:0:0:0:0:0:0:1 - - [13/Sep/2020:20:47:04 +0900] "GET /shinhan_campusmap/member/%3Cc:url%20value='/assets/plugins/parsleyjs/i18n/ko.js'%20/%3E HTTP/1.1" 404 934
0:0:0:0:0:0:0:1 - - [13/Sep/2020:20:47:04 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Sep/2020:20:47:30 +0900] "POST /shinhan_campusmap/member/login_con.jsp HTTP/1.1" 500 2771
0:0:0:0:0:0:0:1 - - [13/Sep/2020:20:51:51 +0900] "POST /shinhan_campusmap/member/login_con.jsp HTTP/1.1" 500 2771
